pair,date,high,low,open,close,volume
USDT_BTC,1591567200,8662.682617,8568.838867,8622.342773,8644.083984,19007316133.0
USDT_BTC,1591653600,8697.051758,8576.723633,8646.624023,8643.34375,20927699476.0
USDT_BTC,1591740000,8702.983398,8560.643555,8641.949219,8683.817383,22616920947.0
USDT_BTC,1591826400,8726.69043,8203.429688,8683.803711,8257.708984,26794462264.0
USDT_BTC,1591912800,8443.111328,8227.246094,8256.743164,8422.061523,20085507113.0
USDT_BTC,1591999200,8434.357422,8347.99707,8421.964844,8418.423828,15605232933.0
USDT_BTC,1592085600,8424.637695,8315.395508,8420.446289,8342.949219,16879795089.0
USDT_BTC,1592172000,8392.439453,7994.819824,8342.280273,8335.821289,23549993996.0
USDT_BTC,1592258400,8451.567383,8295.808594,8338.96582,8466.179688,19142088399.0
USDT_BTC,1592344800,8468.880859,8298.710938,8462.415039,8432.174805,17946983341.0
USDT_BTC,1592431200,8434.422852,8325.033203,8433.341797,8397.583008,15855107778.0
USDT_BTC,1592517600,8391.541992,8295.801758,8396.203125,8308.077148,17560905776.0
USDT_BTC,1592604000,8405.361328,8273.316406,8310.708008,8349.328125,15326113093.0
USDT_BTC,1592690400,8410.851563,8321.420898,8348.0625,8324.283203,13711188606.0
USDT_BTC,1592776800,8573.328125,8319.25,8321.854492,8554.967773,18711722307.0
USDT_BTC,1592863200,8541.969727,8488.791992,8550.852539,8512.65625,15033755038.0
USDT_BTC,1592949600,8550.426758,8230.860352,8514.858398,8278.496094,16854310951.0
USDT_BTC,1593036000,8327.912109,8088.617676,8278.955078,8257.801758,16592633069.0
USDT_BTC,1593122400,8299.859375,8128.234863,8254.399414,8167.833984,16349600988.0
USDT_BTC,1593208800,8208.036133,8021.199219,8172.20752,8063.251465,15397597964.0
USDT_BTC,1593295200,8198.886719,8000.972168,8065.987793,8146.456055,12972978682.0
USDT_BTC,1593381600,8216.875977,8025.099121,8143.290527,8171.956543,14635730829.0
USDT_BTC,1593468000,8195.125977,8099.941406,8167.267578,8133.865234,14006669609.0
